feature,feature_delta,final_verdict,recommended_deployment_role,spread_verdict,spread_full_partial_r,spread_full_abs_partial_r,spread_full_clears_threshold,spread_p4_partial_r,spread_p4_clears_threshold,spread_g5_partial_r,spread_g5_clears_threshold,spread_num_conferences_clearing,spread_conferences_clearing,spread_trajectory_verdict,spread_trajectory_buckets_clearing,spread_trajectory_buckets_clearing_list,over_under_verdict,ou_full_partial_r,ou_full_abs_partial_r,ou_full_clears_threshold,ou_p4_partial_r,ou_p4_clears_threshold,ou_g5_partial_r,ou_g5_clears_threshold,ou_num_conferences_clearing,ou_conferences_clearing,ou_trajectory_verdict,ou_trajectory_buckets_clearing,ou_trajectory_buckets_clearing_list,moneyline_variance_verdict,ml_abs_full_partial_r,ml_abs_full_abs_partial_r,ml_abs_full_clears_threshold,ml_sq_full_partial_r,ml_sq_full_abs_partial_r,ml_sq_full_clears_threshold,ml_abs_num_conferences_clearing,ml_abs_conferences_clearing,ml_sq_num_conferences_clearing,ml_sq_conferences_clearing,moneyline_trajectory_verdict,ml_abs_trajectory_buckets_clearing,ml_abs_trajectory_buckets_clearing_list,ml_sq_trajectory_buckets_clearing,ml_sq_trajectory_buckets_clearing_list,prior_seed_verdict,avg_yoy_r,stable_for_prior_seed,strongly_stable_for_prior_seed,methodology_note
off_success_rate_rush,off_success_rate_rush_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,conference_specific_signal,0.006725152210551076,0.006725152210551076,False,0.004364457701306947,False,0.006212557122677822,False,5,"Pac-12, Big Ten, Mid-American, Sun Belt, SEC",no_trajectory_signal,0,,conference_specific_signal,-0.006723698117688918,0.006723698117688918,False,0.010834611663072,False,-0.020700086281337234,False,4,"Big 12, Mid-American, Conference USA, Pac-12",no_trajectory_signal,0,,conference_specific_variance_signal,0.01193823710104696,0.01193823710104696,False,0.014183943773262249,0.014183943773262249,False,4,"Mountain West, SEC, Mid-American, Conference USA",3,"Mountain West, SEC, Mid-American",bucket_specific,1,conf_games_9_12,0,,not_prior_seed,0.3293781842838931,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_success_rate_pass,off_success_rate_pass_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,full_population_signal,0.14267971843494873,0.14267971843494873,True,0.16374452456521008,True,0.12737209067936406,True,7,"Pac-12, Big 12, Sun Belt, SEC, Conference USA, Big Ten, ACC",holds_broadly_across_season,4,"conf_game_1, conf_games_2_4, conf_games_5_8, conf_games_9_12",conference_specific_signal,0.02525411404026999,0.02525411404026999,False,0.03531982094946559,False,0.014730659536280956,False,4,"Sun Belt, Pac-12, Big Ten, Mid-American",bucket_specific,2,"conf_game_1, conf_games_9_12",conference_specific_variance_signal,0.036509070825775966,0.036509070825775966,False,0.02104861200035544,0.02104861200035544,False,3,"Big Ten, Conference USA, Mid-American",3,"Big Ten, Conference USA, Mid-American",bucket_specific,1,conf_games_9_12,1,conf_games_9_12,not_prior_seed,0.29533590897757306,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_success_rate_std_downs,off_success_rate_std_downs_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,conference_specific_signal,0.058220299656233696,0.058220299656233696,False,0.056400203009508404,False,0.05518536228404011,False,4,"Pac-12, Big 12, Big Ten, Mountain West",bucket_specific,1,conf_games_5_8,conference_specific_signal,-0.018308033225108565,0.018308033225108565,False,0.004231642185623906,False,-0.03403545551718497,False,2,"Big 12, Mid-American",no_trajectory_signal,0,,conference_specific_variance_signal,0.030384878422356515,0.030384878422356515,False,0.027103208440769178,0.027103208440769178,False,2,"SEC, Mountain West",4,"SEC, Conference USA, Mountain West, Mid-American",bucket_specific,0,,1,conf_games_9_12,not_prior_seed,0.31829903295157924,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_success_rate_pass_downs,off_success_rate_pass_downs_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,tier_specific_signal,0.07552597453264444,0.07552597453264444,False,0.06421328350435716,False,0.09387468043999067,True,5,"Conference USA, Sun Belt, Pac-12, Mountain West, SEC",bucket_specific,2,"conf_game_1, conf_games_9_12",conference_specific_signal,0.04443238485558117,0.04443238485558117,False,0.01888724865615954,False,0.05873209856623025,False,2,"Mountain West, Mid-American",holds_broadly_across_season,3,"conf_game_1, conf_games_5_8, conf_games_9_12",conference_specific_variance_signal,0.036822934165689235,0.036822934165689235,False,0.03342942413573673,0.03342942413573673,False,4,"Mountain West, Mid-American, Big 12, Big Ten",3,"Mountain West, Mid-American, Big Ten",holds_or_recurs_across_multiple_buckets,2,"conf_game_1, conf_games_5_8",1,conf_game_1,not_prior_seed,0.25308854409811543,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_epa_rush,off_epa_rush_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,conference_specific_signal,-0.05029247339478316,0.05029247339478316,False,-0.04444208042589787,False,-0.058141387635001165,False,5,"Sun Belt, Conference USA, SEC, Pac-12, Big 12",bucket_specific,1,conf_games_9_12,conference_specific_signal,-0.0153541613710316,0.0153541613710316,False,-0.03514374898775341,False,0.002286306885407423,False,3,"Conference USA, ACC, Big Ten",bucket_specific,1,conf_game_1,conference_specific_variance_signal,-0.014795231478821835,0.014795231478821835,False,0.0029623395506548494,0.0029623395506548494,False,5,"Big Ten, Mountain West, Pac-12, ACC, SEC",2,"Big Ten, Mountain West",bucket_specific,1,conf_games_9_12,1,conf_games_9_12,not_prior_seed,0.3010365150378233,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_epa_pass,off_epa_pass_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,full_population_signal,0.08805586067588653,0.08805586067588653,True,0.07374696867218082,False,0.10146456502759722,True,6,"Sun Belt, Conference USA, SEC, Pac-12, American Athletic, Big Ten",holds_broadly_across_season,3,"conf_game_1, conf_games_5_8, conf_games_9_12",conference_specific_signal,0.030080441742137302,0.030080441742137302,False,0.04214596434194669,False,0.021899245106107225,False,4,"Sun Belt, Mid-American, Big Ten, ACC",no_trajectory_signal,0,,conference_specific_variance_signal,0.02847250192763978,0.02847250192763978,False,0.013534652986069404,0.013534652986069404,False,2,"Big Ten, Big 12",2,"Big Ten, Big 12",no_trajectory_signal,0,,0,,not_prior_seed,0.27552071040459647,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_explosive_rate_10,off_explosive_rate_10_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,tier_specific_signal,-0.07117124854977314,0.07117124854977314,False,-0.11804330059230562,True,-0.03197174791289021,False,8,"ACC, SEC, Mid-American, Conference USA, Sun Belt, Mountain West, American Athletic, Big 12",bucket_specific,2,"conf_games_2_4, conf_games_9_12",conference_specific_signal,-0.02283106768854958,0.02283106768854958,False,0.003142123862852104,False,-0.044509785072250285,False,2,"Pac-12, Big Ten",no_trajectory_signal,0,,conference_specific_variance_signal,0.029912494507617526,0.029912494507617526,False,0.030091253360831464,0.030091253360831464,False,3,"American Athletic, Big Ten, Big 12",3,"Big 12, American Athletic, Big Ten",holds_or_recurs_across_multiple_buckets,1,conf_games_9_12,2,"conf_game_1, conf_games_9_12",not_prior_seed,0.3276507207720013,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_explosive_rate_20,off_explosive_rate_20_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,conference_specific_signal,-0.03112007184905658,0.03112007184905658,False,-0.035095729871390265,False,-0.025911074442158632,False,6,"Conference USA, Sun Belt, Pac-12, Big 12, ACC, Mid-American",holds_broadly_across_season,3,"conf_game_1, conf_games_2_4, conf_games_9_12",conference_specific_signal,-0.016438523032302782,0.016438523032302782,False,-0.012635094696716,False,-0.022562938893659817,False,4,"Pac-12, Big 12, Mountain West, Conference USA",bucket_specific,1,conf_games_9_12,conference_specific_variance_signal,-0.035570144090538935,0.035570144090538935,False,-0.04036710532272857,0.04036710532272857,False,6,"Conference USA, Big Ten, Mountain West, Sun Belt, Pac-12, ACC",4,"Conference USA, Big Ten, Mountain West, ACC",holds_or_recurs_across_multiple_buckets,1,conf_games_5_8,2,"conf_game_1, conf_games_5_8",not_prior_seed,0.2792262144499996,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_stuff_rate,off_stuff_rate_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,conference_specific_signal,0.04527843652365473,0.04527843652365473,False,0.06160040874887781,False,0.03305617677470484,False,2,"Big 12, Sun Belt",bucket_specific,2,"conf_game_1, conf_games_9_12",conference_specific_signal,0.0062563829770031455,0.0062563829770031455,False,0.043600421489273324,False,-0.02707269600093385,False,4,"Conference USA, ACC, Pac-12, Sun Belt",bucket_specific,1,conf_games_9_12,conference_specific_variance_signal,-0.032796380365765404,0.032796380365765404,False,-0.029558710111227376,0.029558710111227376,False,2,"SEC, Conference USA",3,"SEC, Big Ten, ACC",bucket_specific,1,conf_games_9_12,0,,not_prior_seed,0.2617350189785744,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_line_yards_per_rush,off_line_yards_per_rush_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,conference_specific_signal,-0.06877133923715019,0.06877133923715019,False,-0.07344237300680562,False,-0.06822268749087512,False,3,"Sun Belt, Big 12, Conference USA",bucket_specific,2,"conf_game_1, conf_games_2_4",conference_specific_signal,0.01328821279414575,0.01328821279414575,False,0.017681881336928842,False,0.01386273786893536,False,4,"Conference USA, Sun Belt, Big 12, Pac-12",bucket_specific,1,conf_games_9_12,conference_specific_variance_signal,0.013884699092640312,0.013884699092640312,False,0.017665400675182522,0.017665400675182522,False,2,"SEC, Pac-12",1,SEC,bucket_specific,1,conf_games_9_12,0,,not_prior_seed,0.26616398060889357,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_pts_per_opportunity,off_pts_per_opportunity_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,full_population_signal,0.1468946538350496,0.1468946538350496,True,0.1775325614477007,True,0.11896894913060276,True,7,"SEC, Conference USA, Big Ten, Big 12, Sun Belt, Mountain West, Pac-12",holds_broadly_across_season,4,"conf_game_1, conf_games_2_4, conf_games_5_8, conf_games_9_12",conference_specific_signal,0.0009918984953179548,0.0009918984953179548,False,-0.010505522935918204,False,0.012995853878133703,False,5,"Mountain West, ACC, Mid-American, Pac-12, SEC",bucket_specific,2,"conf_game_1, conf_games_9_12",conference_specific_variance_signal,0.0010380573917341835,0.0010380573917341835,False,-0.008028118328374325,0.008028118328374325,False,3,"Pac-12, Mountain West, Sun Belt",3,"Pac-12, Mountain West, Sun Belt",bucket_specific,0,,2,"conf_game_1, conf_games_9_12",not_prior_seed,0.17033942985386666,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
rush_rate_std_downs,rush_rate_std_downs_delta,candidate_game_level_signal_and_weak_prior_seed,test_prior_and_pregame_rolling_version,full_population_signal,0.29269136459133194,0.29269136459133194,True,0.33520587858045614,True,0.2645487100420633,True,9,"Mid-American, SEC, Big Ten, American Athletic, ACC, Big 12, Sun Belt, Mountain West, Pac-12",holds_broadly_across_season,4,"conf_game_1, conf_games_2_4, conf_games_5_8, conf_games_9_12",conference_specific_signal,0.01172964123895338,0.01172964123895338,False,-0.00035115111341708916,False,0.021268526837548152,False,3,"Mid-American, Sun Belt, Big Ten",bucket_specific,1,conf_games_9_12,conference_specific_variance_signal,-0.03100296662038535,0.03100296662038535,False,-0.02791796147175235,0.02791796147175235,False,5,"ACC, Mid-American, Pac-12, Big Ten, SEC",6,"Mid-American, ACC, Pac-12, Big Ten, SEC, Sun Belt",holds_or_recurs_across_multiple_buckets,2,"conf_games_2_4, conf_games_9_12",1,conf_games_9_12,weak_prior_seed_candidate,0.48904732531601214,True,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
rush_rate_pass_downs,rush_rate_pass_downs_delta,candidate_game_level_signal_and_weak_prior_seed,test_prior_and_pregame_rolling_version,full_population_signal,0.21657404778230005,0.21657404778230005,True,0.26569244037477907,True,0.18266361658893351,True,9,"SEC, Pac-12, ACC, Big Ten, Mid-American, Mountain West, American Athletic, Big 12, Sun Belt",holds_broadly_across_season,4,"conf_game_1, conf_games_2_4, conf_games_5_8, conf_games_9_12",tier_specific_signal,-0.029148201346472658,0.029148201346472658,False,-0.08324118047244475,True,0.009171257584061149,False,4,"ACC, Pac-12, Big 12, Sun Belt",holds_broadly_across_season,3,"conf_game_1, conf_games_5_8, conf_games_9_12",conference_specific_variance_signal,0.0003022985699017641,0.0003022985699017641,False,-0.0034907492218136903,0.0034907492218136903,False,4,"Big Ten, American Athletic, Mid-American, Sun Belt",5,"Big Ten, Mid-American, American Athletic, SEC, Conference USA",bucket_specific,1,conf_games_9_12,1,conf_game_1,weak_prior_seed_candidate,0.4647810460329232,True,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_sack_rate_allowed,off_sack_rate_allowed_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,tier_specific_signal,-0.07130714198455522,0.07130714198455522,False,-0.043891969708791695,False,-0.09509572198135466,True,4,"Pac-12, Mid-American, Sun Belt, Big Ten",holds_broadly_across_season,3,"conf_games_2_4, conf_games_5_8, conf_games_9_12",conference_specific_signal,0.01397567303133282,0.01397567303133282,False,0.04501135682051913,False,-0.013959076137744518,False,2,"American Athletic, Mid-American",bucket_specific,1,conf_game_1,full_population_variance_signal,0.09193620277192455,0.09193620277192455,True,0.07848839200774305,0.07848839200774305,False,4,"Big 12, SEC, Mid-American, American Athletic",4,"Big 12, SEC, Mid-American, American Athletic",holds_or_recurs_across_multiple_buckets,3,"conf_game_1, conf_games_2_4, conf_games_9_12",3,"conf_game_1, conf_games_2_4, conf_games_9_12",not_prior_seed,0.24377635079219662,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_success_rate_rush_allowed,def_success_rate_rush_allowed_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,conference_specific_signal,-0.006725152210551076,0.006725152210551076,False,-0.004364457701306947,False,-0.006212557122677822,False,5,"Pac-12, Big Ten, Mid-American, Sun Belt, SEC",no_trajectory_signal,0,,conference_specific_signal,0.006723698117688918,0.006723698117688918,False,-0.010834611663072,False,0.020700086281337234,False,4,"Big 12, Mid-American, Conference USA, Pac-12",no_trajectory_signal,0,,conference_specific_variance_signal,-0.01193823710104696,0.01193823710104696,False,-0.014183943773262249,0.014183943773262249,False,4,"Mountain West, SEC, Mid-American, Conference USA",3,"Mountain West, SEC, Mid-American",bucket_specific,1,conf_games_9_12,0,,not_prior_seed,0.3440965537054836,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_success_rate_pass_allowed,def_success_rate_pass_allowed_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,full_population_signal,-0.14267971843494873,0.14267971843494873,True,-0.16374452456521008,True,-0.12737209067936406,True,7,"Pac-12, Big 12, Sun Belt, SEC, Conference USA, Big Ten, ACC",holds_broadly_across_season,4,"conf_game_1, conf_games_2_4, conf_games_5_8, conf_games_9_12",conference_specific_signal,-0.02525411404026999,0.02525411404026999,False,-0.03531982094946559,False,-0.014730659536280956,False,4,"Sun Belt, Pac-12, Big Ten, Mid-American",bucket_specific,2,"conf_game_1, conf_games_9_12",conference_specific_variance_signal,-0.036509070825775966,0.036509070825775966,False,-0.02104861200035544,0.02104861200035544,False,3,"Big Ten, Conference USA, Mid-American",3,"Big Ten, Conference USA, Mid-American",bucket_specific,1,conf_games_9_12,1,conf_games_9_12,not_prior_seed,0.27299519917408427,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_success_rate_std_downs_allowed,def_success_rate_std_downs_allowed_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,conference_specific_signal,-0.058220299656233696,0.058220299656233696,False,-0.056400203009508404,False,-0.05518536228404011,False,4,"Pac-12, Big 12, Big Ten, Mountain West",bucket_specific,1,conf_games_5_8,conference_specific_signal,0.018308033225108565,0.018308033225108565,False,-0.004231642185623906,False,0.03403545551718497,False,2,"Big 12, Mid-American",no_trajectory_signal,0,,conference_specific_variance_signal,-0.030384878422356515,0.030384878422356515,False,-0.027103208440769178,0.027103208440769178,False,2,"SEC, Mountain West",4,"SEC, Conference USA, Mountain West, Mid-American",bucket_specific,0,,1,conf_games_9_12,not_prior_seed,0.3716900846247503,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_epa_rush_allowed,def_epa_rush_allowed_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,conference_specific_signal,0.05029247339478316,0.05029247339478316,False,0.04444208042589787,False,0.058141387635001165,False,5,"Sun Belt, Conference USA, SEC, Pac-12, Big 12",bucket_specific,1,conf_games_9_12,conference_specific_signal,0.0153541613710316,0.0153541613710316,False,0.03514374898775341,False,-0.002286306885407423,False,3,"Conference USA, ACC, Big Ten",bucket_specific,1,conf_game_1,conference_specific_variance_signal,0.014795231478821835,0.014795231478821835,False,-0.0029623395506548494,0.0029623395506548494,False,5,"Big Ten, Mountain West, Pac-12, ACC, SEC",2,"Big Ten, Mountain West",bucket_specific,1,conf_games_9_12,1,conf_games_9_12,not_prior_seed,0.30905764836923,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_epa_pass_allowed,def_epa_pass_allowed_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,full_population_signal,-0.08805586067588653,0.08805586067588653,True,-0.07374696867218082,False,-0.10146456502759722,True,6,"Sun Belt, Conference USA, SEC, Pac-12, American Athletic, Big Ten",holds_broadly_across_season,3,"conf_game_1, conf_games_5_8, conf_games_9_12",conference_specific_signal,-0.030080441742137302,0.030080441742137302,False,-0.04214596434194669,False,-0.021899245106107225,False,4,"Sun Belt, Mid-American, Big Ten, ACC",no_trajectory_signal,0,,conference_specific_variance_signal,-0.02847250192763978,0.02847250192763978,False,-0.013534652986069404,0.013534652986069404,False,2,"Big Ten, Big 12",2,"Big Ten, Big 12",no_trajectory_signal,0,,0,,not_prior_seed,0.29743109717265737,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_stuff_rate_allowed,def_stuff_rate_allowed_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,conference_specific_signal,-0.04527843652365473,0.04527843652365473,False,-0.06160040874887781,False,-0.03305617677470484,False,2,"Big 12, Sun Belt",bucket_specific,2,"conf_game_1, conf_games_9_12",conference_specific_signal,-0.0062563829770031455,0.0062563829770031455,False,-0.043600421489273324,False,0.02707269600093385,False,4,"Conference USA, ACC, Pac-12, Sun Belt",bucket_specific,1,conf_games_9_12,conference_specific_variance_signal,0.032796380365765404,0.032796380365765404,False,0.029558710111227376,0.029558710111227376,False,2,"SEC, Conference USA",3,"SEC, Big Ten, ACC",bucket_specific,1,conf_games_9_12,0,,not_prior_seed,0.29471352154176467,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_explosive_rate_10_allowed,def_explosive_rate_10_allowed_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,tier_specific_signal,0.07117124854977314,0.07117124854977314,False,0.11804330059230562,True,0.03197174791289021,False,8,"ACC, SEC, Mid-American, Conference USA, Sun Belt, Mountain West, American Athletic, Big 12",bucket_specific,2,"conf_games_2_4, conf_games_9_12",conference_specific_signal,0.02283106768854958,0.02283106768854958,False,-0.003142123862852104,False,0.044509785072250285,False,2,"Pac-12, Big Ten",no_trajectory_signal,0,,conference_specific_variance_signal,-0.029912494507617526,0.029912494507617526,False,-0.030091253360831464,0.030091253360831464,False,3,"American Athletic, Big Ten, Big 12",3,"Big 12, American Athletic, Big Ten",holds_or_recurs_across_multiple_buckets,1,conf_games_9_12,2,"conf_game_1, conf_games_9_12",not_prior_seed,0.30985702416143246,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_explosive_rate_20_allowed,def_explosive_rate_20_allowed_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,conference_specific_signal,0.03112007184905658,0.03112007184905658,False,0.035095729871390265,False,0.025911074442158632,False,6,"Conference USA, Sun Belt, Pac-12, Big 12, ACC, Mid-American",holds_broadly_across_season,3,"conf_game_1, conf_games_2_4, conf_games_9_12",conference_specific_signal,0.016438523032302782,0.016438523032302782,False,0.012635094696716,False,0.022562938893659817,False,4,"Pac-12, Big 12, Mountain West, Conference USA",bucket_specific,1,conf_games_9_12,conference_specific_variance_signal,0.035570144090538935,0.035570144090538935,False,0.04036710532272857,0.04036710532272857,False,6,"Conference USA, Big Ten, Mountain West, Sun Belt, Pac-12, ACC",4,"Conference USA, Big Ten, Mountain West, ACC",holds_or_recurs_across_multiple_buckets,1,conf_games_5_8,2,"conf_game_1, conf_games_5_8",not_prior_seed,0.3245715633382424,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_pts_per_opportunity_allowed,def_pts_per_opportunity_allowed_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,full_population_signal,-0.1468946538350496,0.1468946538350496,True,-0.1775325614477007,True,-0.11896894913060276,True,7,"SEC, Conference USA, Big Ten, Big 12, Sun Belt, Mountain West, Pac-12",holds_broadly_across_season,4,"conf_game_1, conf_games_2_4, conf_games_5_8, conf_games_9_12",conference_specific_signal,-0.0009918984953179548,0.0009918984953179548,False,0.010505522935918204,False,-0.012995853878133703,False,5,"Mountain West, ACC, Mid-American, Pac-12, SEC",bucket_specific,2,"conf_game_1, conf_games_9_12",conference_specific_variance_signal,-0.0010380573917341835,0.0010380573917341835,False,0.008028118328374325,0.008028118328374325,False,3,"Pac-12, Mountain West, Sun Belt",3,"Pac-12, Mountain West, Sun Belt",bucket_specific,0,,2,"conf_game_1, conf_games_9_12",not_prior_seed,0.21724452836241054,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_sack_rate,def_sack_rate_delta,candidate_game_level_signal_only,test_pregame_rolling_current_season_version,tier_specific_signal,0.07130714198455522,0.07130714198455522,False,0.043891969708791695,False,0.09509572198135466,True,4,"Pac-12, Mid-American, Sun Belt, Big Ten",holds_broadly_across_season,3,"conf_games_2_4, conf_games_5_8, conf_games_9_12",conference_specific_signal,-0.01397567303133282,0.01397567303133282,False,-0.04501135682051913,False,0.013959076137744518,False,2,"American Athletic, Mid-American",bucket_specific,1,conf_game_1,full_population_variance_signal,-0.09193620277192455,0.09193620277192455,True,-0.07848839200774305,0.07848839200774305,False,4,"Big 12, SEC, Mid-American, American Athletic",4,"Big 12, SEC, Mid-American, American Athletic",holds_or_recurs_across_multiple_buckets,3,"conf_game_1, conf_games_2_4, conf_games_9_12",3,"conf_game_1, conf_games_2_4, conf_games_9_12",not_prior_seed,0.19809858429589353,False,False,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
